MAP-1,,,,,,
NoiseMode,NoiseLevel,TrialTime_sec,ClosestApproach_raw,UnsafeProximity_0or1,UnsafeProximityCount,ReverseCount
FALSE,0,8.51,933.4,1,2,3
FALSE,0,8.51,933.4,1,2,3
FALSE,0,8.51,933.4,1,2,3
,,,,,,
MAP-2,,,,,,
False,0,10.53,950.9,1,3,4
False,0,10.53,950.9,1,3,4
False,0,10.53,950.9,1,3,4
