MAP-1,,,,,
NoiseMode,NoiseLevel,TrialTime_sec,ClosestApproach_raw,UnsafeProximity_0or1,UnsafeProximityCount
TRUE,15,10.02,952.7,1,3
TRUE,15,10.02,958.8,1,3
TRUE,15,10.02,956.6,1,3
TRUE,15,10.02,957.7,1,3
TRUE,15,10.02,953.7,1,3
,,,,,
MAP-2,,,,,
True,15,10.02,965.7,1,2
True,15,10.02,976.6,1,3
True,15,10.02,963.7,1,3
